Membership No  Date Joined  Active  
    96521      2016-1-9     yes   
    22531      2016-12-22   yes   
    35052      2018-1-19    yes   
    33153      2015-10-25   no    
    34290      2019-4-6     no    
    13064      2017-11-13   yes   
    78924      2019-8-16    no    
    32039      2020-4-16    no    
    67637      2020-12-5    no    
    15684      2019-3-22    yes   
    33420      2016-1-2     yes   
    87906      2020-10-15   no    
    35125      2015-2-19    no    
    15220      2017-5-21    yes   
    92116      2016-10-1    yes   
    75203      2015-3-17    yes   
    11535      2018-5-3     yes   
    84270      2020-10-13   yes   
    82757      2019-2-17    no    
    54898      2020-4-6     no    
